z,H,sigma_H,stat,sys,M,reference
0.07,69.0,19.6,19.6,0,F,arXiv:1207.4541 (2012)
0.09,70.7,12.3,12.3,0,F,arXiv:astro-ph/0302560v1 (2003)
0.12,68.6,26.2,26.2,0,F,arXiv:1207.4541 (2012)
0.17,83.0,8.0,8.0,0,F,arXiv:0907.3149v1 (2009)
0.1791,75.0,4.0,3.8,0.5,D,arXiv:1201.3609v4 (2012)
0.1993,75.0,5.0,4.9,0.6,D,arXiv:1201.3609v4 (2012)
0.20,72.9,29.6,29.6,0,F,arXiv:1207.4541 (2012)
0.27,77.0,14.0,14.0,0,F,arXiv:0907.3149v1 (2009)
0.28,88.8,36.6,36.6,0,F,arXiv:1207.4541 (2012)
0.3519,83.0,14.0,13,4.8,D,arXiv:1201.3609v4 (2012)
0.3802,83.0,13.5,4.3,12.9,D,arXiv:1601.01701v2 (2016b)
0.4,95.0,17.0,17.0,0,F,arXiv:0907.3149v1 (2009)
0.4004,77.0,10.2,2.1,10,D,arXiv:1601.01701v2 (2016b)
0.4247,87.1,11.2,2.4,11,D,arXiv:1601.01701v2 (2016b)
0.44497,92.8,12.9,4.5,12.1,D,arXiv:1601.01701v2 (2016b)
0.46,88.48,12.33,0.57,12.32,D,arXiv:2511.02730v1 (2025)
0.47,89.0,49.6,23,44,F,arXiv:1702.00418v2 (2017)
0.4783,80.9,9.0,2.1,8.8,D,arXiv:1601.01701v2 (2016b)
0.48,97.0,62.0,62.0,0,F,arXiv:0907.3149v1 (2009)
0.5,72.1,34.7,33.9,7.3,D,arXiv:2506.03836v1 (2025)
0.542,66,57,55,13,F,arXiv:2512.02109v1 (2025)
0.5929,104.0,13.0,11.6,4.5,D,arXiv:1201.3609v4 (2012)
0.61,88.5,12.6,9.7,8.1,L,arXiv:2608.13178v1 (2026)
0.65,93.68,30.22,28.27,10.67,D,arXiv:2606.07298v1 (2026)
0.67,119.45,17.82,6.39,16.64,D,arXiv:2511.02730v1 (2025)
0.6797,92.0,8.0,6.4,4.3,D,arXiv:1201.3609v4 (2012)
0.7812,105.0,12.0,9.4,6.1,D,arXiv:1201.3609v4 (2012)
0.83,108.28,18.13,10.07,15.08,D,arXiv:2511.02730v1 (2025)
0.8754,125.0,17.0,15.3,6.0,D,arXiv:1201.3609v4 (2012)
0.88,90.0,40.0,40.0,0,F,arXiv:0907.3149v1 (2009)
0.9,117.0,23.0,23.0,0,F,arXiv:0907.3149v1 (2009)
1.037,154.0,20.0,13.6,14.9,D,arXiv:1201.3609v4 (2012)
1.26,135.0,65.0,60.0,27.1,F,arXiv:2305.16387v1 (2023)
1.3,168.0,17.0,17.0,0,F,arXiv:astro-ph/0412269 (2004)
1.363,160.0,33.6,33.6,0,D,arXiv:1503.01116v1 (2015)
1.43,177.0,18.0,18.0,0,F,arXiv:astro-ph/0412269 (2004)
1.53,140.0,14.0,14.0,0,F,arXiv:astro-ph/0412269 (2004)
1.75,202.0,40.0,40.0,0,F,arXiv:astro-ph/0412269 (2004)
1.965,186.5,50.4,50.4,0,D,arXiv:1503.01116v1 (2015)
