z,fs8,fs8_err,omega_fid,s8_fid,year,cov_id,outlier
0.013,0.46,0.06,0.315,0.8,2021,-1,0
0.35,0.44,0.05,0.25,0.756,2006,-1,0
0.77,0.49,0.18,0.25,0.78,2009,-1,0
0.17,0.51,0.06,0.3,0.8,2009,-1,0
0.02,0.314,0.048,0.266,0.65,2010,-1,1
0.02,0.398,0.065,0.3,0.814,2011,-1,0
0.25,0.3512,0.0583,0.276,0.8,2011,-1,1
0.37,0.4602,0.0378,0.276,0.8,2011,-1,0
0.44,0.413,0.08,0.27,0.8,2012,1,0
0.60,0.39,0.063,0.27,0.8,2012,1,0
0.73,0.437,0.072,0.27,0.8,2012,1,0
0.067,0.423,0.055,0.27,0.76,2012,-1,0
0.3,0.407,0.055,0.25,0.804,2012,2,0
0.4,0.419,0.041,0.25,0.804,2012,2,0
0.5,0.427,0.043,0.25,0.804,2012,2,0
0.6,0.433,0.067,0.25,0.804,2012,2,0
0.8,0.47,0.08,0.25,0.82,2013,-1,0
0.35,0.429,0.089,0.25,0.809,2013,-1,0
0.18,0.36,0.09,0.27,0.8,2013,-1,0
0.38,0.44,0.06,0.27,0.8,2013,-1,0
0.32,0.384,0.095,0.274,0.8,2013,-1,0
0.32,0.48,0.1,0.274,0.8,2013,-1,0
0.57,0.417,0.045,0.274,0.8,2013,-1,0
0.15,0.49,0.145,0.31,0.83,2015,-1,0
0.10,0.37,0.13,0.3,0.89,2015,-1,0
1.40,0.482,0.116,0.27,0.82,2015,-1,0
0.59,0.488,0.06,0.307115,0.8288,2016,-1,0
0.38,0.497,0.045,0.31,0.8,2016,-1,0
0.51,0.458,0.038,0.31,0.8,2016,-1,0
0.61,0.436,0.034,0.31,0.8,2016,-1,0
0.38,0.477,0.051,0.31,0.8,2016,-1,0
0.51,0.453,0.05,0.31,0.8,2016,-1,0
0.61,0.41,0.044,0.31,0.8,2016,-1,0
0.76,0.44,0.04,0.308,0.8149,2016,-1,0
1.05,0.28,0.08,0.308,0.8149,2016,-1,1
0.32,0.427,0.056,0.31,0.8475,2016,-1,0
0.57,0.426,0.029,0.31,0.8475,2016,-1,0
0.727,0.296,0.0765,0.31,0.7,2016,-1,1
0.02,0.428,0.0465,0.3,0.8,2016,-1,0
0.60,0.48,0.12,0.3,0.831,2016,-1,0
0.86,0.48,0.1,0.3,0.831,2016,-1,0
0.60,0.55,0.12,0.3,0.823,2016,-1,0
0.86,0.4,0.11,0.3,0.823,2016,-1,0
0.1,0.48,0.16,0.25,0.89,2016,-1,0
0.001,0.505,0.085,0.3121,0.815,2017,-1,0
0.85,0.45,0.11,0.3,0.8,2017,-1,0
0.31,0.469,0.098,0.307,0.8288,2017,-1,0
0.36,0.474,0.097,0.307,0.8288,2017,-1,0
0.40,0.473,0.086,0.307,0.8288,2017,-1,0
0.44,0.481,0.076,0.307,0.8288,2017,-1,0
0.48,0.482,0.067,0.307,0.8288,2017,-1,0
0.52,0.488,0.065,0.307,0.8288,2017,-1,0
0.56,0.482,0.067,0.307,0.8288,2017,-1,0
0.59,0.481,0.066,0.307,0.8288,2017,-1,0
0.64,0.486,0.07,0.307,0.8288,2017,-1,0
0.1,0.376,0.038,0.282,0.817,2017,-1,0
1.52,0.42,0.076,0.26479,0.8,2018,-1,0
1.52,0.396,0.079,0.31,0.8225,2018,-1,0
0.978,0.379,0.176,0.31,0.8,2018,3,0
1.23,0.385,0.099,0.31,0.8,2018,3,0
1.526,0.342,0.07,0.31,0.8,2018,3,0
1.944,0.364,0.106,0.31,0.8,2018,3,0
