z,value,quantity
0.15,0.527256,f_sigma8
0.15,4.508211,DV_over_rs
0.38,1.027e+01,DM_over_rs
0.38,2.489e+01,DH_over_rs
0.38,4.974e-01,f_sigma8
0.51,1.338e+01,DM_over_rs
0.51,2.243e+01,DH_over_rs
0.51,4.590e-01,f_sigma8
0.698,17.645954975529154,DM_over_rd
0.698,19.769664063200512,DH_over_rd
0.698,0.4730038921505922,f_sigma8
0.85,19.554,DM_over_rd
0.85,19.453,DH_over_rd
0.85,0.315,f_sigma8
1.48,30.21,DM_over_rs
1.48,13.23,DH_over_rs
1.48,0.462,f_sigma8
2.334,37.65,DM_over_rd
2.334,8.93,DH_over_rd
2.334,37.54,DM_over_rd
2.334,9.08,DH_over_rd
