z,value,quantity,std,corr
0.295,7.942,DV_over_rs,0.075,0.000
0.510,13.588,DM_over_rs,0.167,-0.459
0.510,21.863,DH_over_rs,0.425,-0.459
0.706,17.351,DM_over_rs,0.177,-0.404
0.706,19.455,DH_over_rs,0.330,-0.404
0.934,21.576,DM_over_rs,0.152,-0.416
0.934,17.641,DH_over_rs,0.193,-0.416
1.321,27.601,DM_over_rs,0.318,-0.434
1.321,14.176,DH_over_rs,0.221,-0.434
1.484,30.512,DM_over_rs,0.760,-0.500
1.484,12.817,DH_over_rs,0.516,-0.500
2.330,38.988,DM_over_rs,0.531,-0.431
2.330,8.632,DH_over_rs,0.101,-0.431
