name,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,cov_m_s,cov_m_c,cov_s_c,set,ra,dec
bin00,0.050000,0.050000,0.0,36.765281,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin01,0.100000,0.100000,0.0,38.370770,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin02,0.150000,0.150000,0.0,39.267049,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin03,0.200000,0.200000,0.0,39.977754,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin04,0.250000,0.250000,0.0,40.472185,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin05,0.300000,0.300000,0.0,40.957321,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin06,0.350000,0.350000,0.0,41.342991,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin07,0.400000,0.400000,0.0,41.716561,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin08,0.450000,0.450000,0.0,41.973905,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin09,0.500000,0.500000,0.0,42.274204,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin10,0.550000,0.550000,0.0,42.513288,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin11,0.600000,0.600000,0.0,42.745003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin12,0.650000,0.650000,0.0,42.936654,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin13,0.700000,0.700000,0.0,43.090620,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin14,0.750000,0.750000,0.0,43.279377,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin15,0.800000,0.800000,0.0,43.482602,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin16,0.898138,0.898138,0.0,43.788450,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin17,0.996276,0.996276,0.0,44.165486,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin18,1.094415,1.094415,0.0,44.281558,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin19,1.232244,1.232244,0.0,44.728117,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin20,1.390961,1.390961,0.0,45.004847,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
bin21,2.262260,2.262260,0.0,46.134312,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
